Season,RoundNumber,Race,Driver,grid_pos,Position,grid_rank,lap1_rank,change,field
2022,22,Abu Dhabi Grand Prix,SAI,4.0,5.0,4.0,5.0,-1.0,20
2022,22,Abu Dhabi Grand Prix,RUS,6.0,7.0,6.0,7.0,-1.0,20
2022,22,Abu Dhabi Grand Prix,NOR,7.0,6.0,7.0,6.0,1.0,20
2022,22,Abu Dhabi Grand Prix,OCO,8.0,8.0,8.0,8.0,0.0,20
2022,22,Abu Dhabi Grand Prix,STR,14.0,12.0,14.0,12.0,2.0,20
2022,22,Abu Dhabi Grand Prix,RIC,13.0,14.0,13.0,14.0,-1.0,20
2022,22,Abu Dhabi Grand Prix,VET,9.0,9.0,9.0,9.0,0.0,20
2022,22,Abu Dhabi Grand Prix,TSU,11.0,11.0,11.0,11.0,0.0,20
2022,22,Abu Dhabi Grand Prix,ZHO,15.0,15.0,15.0,15.0,0.0,20
2022,22,Abu Dhabi Grand Prix,ALB,19.0,17.0,19.0,17.0,2.0,20
2022,22,Abu Dhabi Grand Prix,GAS,17.0,18.0,17.0,18.0,-1.0,20
2022,22,Abu Dhabi Grand Prix,BOT,18.0,20.0,18.0,20.0,-2.0,20
2022,22,Abu Dhabi Grand Prix,MSC,12.0,13.0,12.0,13.0,-1.0,20
2022,22,Abu Dhabi Grand Prix,MAG,16.0,16.0,16.0,16.0,0.0,20
2022,22,Abu Dhabi Grand Prix,HAM,5.0,4.0,5.0,4.0,1.0,20
2022,22,Abu Dhabi Grand Prix,LAT,20.0,19.0,20.0,19.0,1.0,20
2022,22,Abu Dhabi Grand Prix,ALO,10.0,10.0,10.0,10.0,0.0,20
2023,1,Bahrain Grand Prix,VER,1.0,1.0,1.0,1.0,0.0,20
2023,1,Bahrain Grand Prix,GAS,20.0,19.0,20.0,19.0,1.0,20
2023,1,Bahrain Grand Prix,PER,2.0,3.0,2.0,3.0,-1.0,20
2023,1,Bahrain Grand Prix,ALO,5.0,7.0,5.0,7.0,-2.0,20
2023,1,Bahrain Grand Prix,LEC,3.0,2.0,3.0,2.0,1.0,20
2023,1,Bahrain Grand Prix,STR,8.0,9.0,8.0,9.0,-1.0,20
2023,1,Bahrain Grand Prix,SAR,16.0,13.0,16.0,13.0,3.0,20
2023,1,Bahrain Grand Prix,MAG,17.0,18.0,17.0,18.0,-1.0,20
2023,1,Bahrain Grand Prix,DEV,19.0,20.0,19.0,20.0,-1.0,20
2023,1,Bahrain Grand Prix,TSU,14.0,15.0,14.0,15.0,-1.0,20
2023,1,Bahrain Grand Prix,ALB,15.0,12.0,15.0,12.0,3.0,20
2023,1,Bahrain Grand Prix,ZHO,13.0,17.0,13.0,17.0,-4.0,20
2023,1,Bahrain Grand Prix,HUL,10.0,14.0,10.0,14.0,-4.0,20
2023,1,Bahrain Grand Prix,OCO,9.0,11.0,9.0,11.0,-2.0,20
2023,1,Bahrain Grand Prix,NOR,11.0,10.0,11.0,10.0,1.0,20
2023,1,Bahrain Grand Prix,HAM,7.0,5.0,7.0,5.0,2.0,20
