Driver,Team,quali_pos,Race,Round,is_target
ALO,Aston Martin,16.0,Hungarian Grand Prix,11,False
BEA,Haas F1 Team,17.0,Hungarian Grand Prix,11,False
SAI,Williams,18.0,Hungarian Grand Prix,11,False
ALB,Williams,19.0,Hungarian Grand Prix,11,False
STR,Aston Martin,20.0,Hungarian Grand Prix,11,False
BOT,Cadillac,21.0,Hungarian Grand Prix,11,False
PER,Cadillac,22.0,Hungarian Grand Prix,11,False
NOR,McLaren,1.0,Dutch Grand Prix,12,False
RUS,Mercedes,2.0,Dutch Grand Prix,12,False
ANT,Mercedes,3.0,Dutch Grand Prix,12,False
PIA,McLaren,4.0,Dutch Grand Prix,12,False
HAM,Ferrari,5.0,Dutch Grand Prix,12,False
LEC,Ferrari,6.0,Dutch Grand Prix,12,False
VER,Red Bull Racing,7.0,Dutch Grand Prix,12,False
LAW,Red Bull Racing,8.0,Dutch Grand Prix,12,False
BOR,Audi,9.0,Dutch Grand Prix,12,False
LIN,Racing Bulls,10.0,Dutch Grand Prix,12,False
GAS,Alpine,11.0,Dutch Grand Prix,12,False
TSU,Racing Bulls,12.0,Dutch Grand Prix,12,False
HUL,Audi,13.0,Dutch Grand Prix,12,False
COL,Alpine,14.0,Dutch Grand Prix,12,False
OCO,Haas F1 Team,15.0,Dutch Grand Prix,12,False
ALB,Williams,16.0,Dutch Grand Prix,12,False
SAI,Williams,17.0,Dutch Grand Prix,12,False
ALO,Aston Martin,18.0,Dutch Grand Prix,12,False
STR,Aston Martin,19.0,Dutch Grand Prix,12,False
BEA,Haas F1 Team,20.0,Dutch Grand Prix,12,False
BOT,Cadillac,21.0,Dutch Grand Prix,12,False
PER,Cadillac,22.0,Dutch Grand Prix,12,False
GAS,Alpine,1.0,Italian Grand Prix,13,True
RUS,Mercedes,2.0,Italian Grand Prix,13,True
PIA,McLaren,3.0,Italian Grand Prix,13,True
LEC,Ferrari,4.0,Italian Grand Prix,13,True
HAM,Ferrari,5.0,Italian Grand Prix,13,True
VER,Red Bull Racing,6.0,Italian Grand Prix,13,True
ANT,Mercedes,7.0,Italian Grand Prix,13,True
COL,Alpine,8.0,Italian Grand Prix,13,True
NOR,McLaren,9.0,Italian Grand Prix,13,True
LIN,Racing Bulls,10.0,Italian Grand Prix,13,True
BOR,Audi,11.0,Italian Grand Prix,13,True
BEA,Haas F1 Team,12.0,Italian Grand Prix,13,True
HUL,Audi,13.0,Italian Grand Prix,13,True
LAW,Red Bull Racing,14.0,Italian Grand Prix,13,True
SAI,Williams,15.0,Italian Grand Prix,13,True
OCO,Haas F1 Team,16.0,Italian Grand Prix,13,True
TSU,Racing Bulls,17.0,Italian Grand Prix,13,True
ALB,Williams,18.0,Italian Grand Prix,13,True
BOT,Cadillac,19.0,Italian Grand Prix,13,True
PER,Cadillac,20.0,Italian Grand Prix,13,True
ALO,Aston Martin,21.0,Italian Grand Prix,13,True
STR,Aston Martin,22.0,Italian Grand Prix,13,True
